created_at,match_id,steam_id,mode,type,placement,total_teams,map,weapon,kills,damage,dbnos,traveled,time_alive,longest_kill,teammates
2026-07-19T21:10:16+08:00,42b4b60f-be13-4466-b970-a5a6580afaf6,FahaiGe,Solo,Normal,0,1,Training Mode,,18,1330,0,1.16km,10m 20s,51m,FahaiGe
2026-07-19T21:22:34+08:00,6f197ba4-b7e4-4e50-84df-7de212956d6f,super_ADAM,Squad,Normal,8,15,Karakin,M249,1,122,1,0.38km,2m 51s,38m,Maureen99|zhong8yang8|super_ADAM|FahaiGe
2026-07-19T21:22:34+08:00,6f197ba4-b7e4-4e50-84df-7de212956d6f,Maureen99,Squad,Normal,8,15,Karakin,UMP45,1,132,1,1.31km,8m 8s,148m,Maureen99|zhong8yang8|super_ADAM|FahaiGe
2026-07-19T21:22:34+08:00,6f197ba4-b7e4-4e50-84df-7de212956d6f,FahaiGe,Squad,Normal,8,15,Karakin,MP5K,0,121,1,0.12km,1m 46s,0m,Maureen99|zhong8yang8|super_ADAM|FahaiGe
2026-07-19T21:33:00+08:00,dfca7dfe-5e44-4922-99c0-ae96ba8f78f8,super_ADAM,Squad,Normal,13,15,Karakin,,0,0,0,0.73km,4m 9s,0m,Maureen99|FahaiGe|zhong8yang8|super_ADAM
2026-07-19T21:33:00+08:00,dfca7dfe-5e44-4922-99c0-ae96ba8f78f8,Maureen99,Squad,Normal,13,15,Karakin,MP5K,0,134,1,0.78km,5m 8s,0m,Maureen99|FahaiGe|zhong8yang8|super_ADAM
2026-07-19T21:33:00+08:00,dfca7dfe-5e44-4922-99c0-ae96ba8f78f8,FahaiGe,Squad,Normal,13,15,Karakin,Mk12,0,23,0,0.75km,5m 0s,0m,Maureen99|FahaiGe|zhong8yang8|super_ADAM
2026-07-19T21:42:29+08:00,1356e107-647b-4811-9c6d-7e0b762de298,zhong8yang8,Squad,Normal,1,16,Karakin,AWM,1,191,2,3.14km,16m 47s,172m,FahaiGe|super_ADAM|zhong8yang8|Maureen99
2026-07-19T21:42:29+08:00,1356e107-647b-4811-9c6d-7e0b762de298,super_ADAM,Squad,Normal,1,16,Karakin,VSS,1,352,2,2.64km,16m 47s,15m,FahaiGe|super_ADAM|zhong8yang8|Maureen99
2026-07-19T21:42:29+08:00,1356e107-647b-4811-9c6d-7e0b762de298,Maureen99,Squad,Normal,1,16,Karakin,MP5K,1,110,0,2.86km,16m 47s,14m,FahaiGe|super_ADAM|zhong8yang8|Maureen99
2026-07-19T21:42:29+08:00,1356e107-647b-4811-9c6d-7e0b762de298,FahaiGe,Squad,Normal,1,16,Karakin,,0,0,0,2.46km,16m 47s,0m,FahaiGe|super_ADAM|zhong8yang8|Maureen99
2026-07-19T22:01:33+08:00,350028be-ff96-46af-8b21-5857acee2fcf,zhong8yang8,Squad,Normal,12,15,Karakin,UZI,0,66,0,0.40km,2m 59s,0m,Maureen99|zhong8yang8|FahaiGe|super_ADAM
2026-07-19T22:01:33+08:00,350028be-ff96-46af-8b21-5857acee2fcf,super_ADAM,Squad,Normal,12,15,Karakin,,0,0,0,0.25km,2m 20s,0m,Maureen99|zhong8yang8|FahaiGe|super_ADAM
2026-07-19T22:01:33+08:00,350028be-ff96-46af-8b21-5857acee2fcf,Maureen99,Squad,Normal,12,15,Karakin,Win94,0,22,0,0.24km,3m 21s,0m,Maureen99|zhong8yang8|FahaiGe|super_ADAM
2026-07-19T22:01:33+08:00,350028be-ff96-46af-8b21-5857acee2fcf,FahaiGe,Squad,Normal,12,15,Karakin,UMP45,0,125,0,0.34km,2m 41s,0m,Maureen99|zhong8yang8|FahaiGe|super_ADAM
2026-07-19T22:06:48+08:00,e04b2a27-2e8d-48e4-9eb6-546fdb9b2b87,zhong8yang8,Squad,Normal,14,18,Karakin,Berreta686,0,46,0,0.19km,4m 22s,0m,Maureen99|zhong8yang8|FahaiGe|super_ADAM
2026-07-19T22:06:48+08:00,e04b2a27-2e8d-48e4-9eb6-546fdb9b2b87,super_ADAM,Squad,Normal,14,18,Karakin,AK47,1,147,1,0.47km,4m 8s,3m,Maureen99|zhong8yang8|FahaiGe|super_ADAM
2026-07-19T22:06:48+08:00,e04b2a27-2e8d-48e4-9eb6-546fdb9b2b87,Maureen99,Squad,Normal,14,18,Karakin,M16A4,3,245,2,0.69km,5m 9s,91m,Maureen99|zhong8yang8|FahaiGe|super_ADAM
2026-07-19T22:06:48+08:00,e04b2a27-2e8d-48e4-9eb6-546fdb9b2b87,FahaiGe,Squad,Normal,14,18,Karakin,M16A4,0,43,0,0.36km,4m 12s,0m,Maureen99|zhong8yang8|FahaiGe|super_ADAM
2026-07-19T22:14:22+08:00,74df83f2-21f1-448a-b8c8-b3db94013b17,zhong8yang8,Squad,Normal,3,18,Karakin,Thompson,6,494,4,3.30km,15m 26s,54m,FahaiGe|super_ADAM|zhong8yang8|Maureen99
2026-07-19T22:14:22+08:00,74df83f2-21f1-448a-b8c8-b3db94013b17,super_ADAM,Squad,Normal,3,18,Karakin,FamasG2,1,195,0,3.60km,17m 13s,9m,FahaiGe|super_ADAM|zhong8yang8|Maureen99
2026-07-19T22:14:22+08:00,74df83f2-21f1-448a-b8c8-b3db94013b17,Maureen99,Squad,Normal,3,18,Karakin,M16A4,1,243,1,1.39km,10m 55s,52m,FahaiGe|super_ADAM|zhong8yang8|Maureen99
2026-07-19T22:14:22+08:00,74df83f2-21f1-448a-b8c8-b3db94013b17,FahaiGe,Squad,Normal,3,18,Karakin,SCAR-L,1,94,1,3.27km,17m 13s,40m,FahaiGe|super_ADAM|zhong8yang8|Maureen99
2026-07-20T20:02:06+08:00,05974ed7-0de1-47f4-8faf-c796a24bb63c,zhong8yang8,Squad,Normal,3,17,Miramar,Beryl,0,0,0,3.82km,18m 9s,0m,LYL_gscr|HKK30|super_ADAM|zhong8yang8
2026-07-20T20:02:06+08:00,05974ed7-0de1-47f4-8faf-c796a24bb63c,super_ADAM,Squad,Normal,3,17,Miramar,Kar98k,0,44,0,3.74km,18m 16s,0m,LYL_gscr|HKK30|super_ADAM|zhong8yang8
2026-07-20T20:35:35+08:00,f1dcbb12-15f9-4d0b-ba91-654e38c4b4a9,zhong8yang8,Squad,Normal,1,18,Karakin,MP5K,2,332,1,2.58km,16m 18s,88m,zhong8yang8|Tibetan--24|Xduo-JSN|nggxp
2026-07-20T20:54:25+08:00,fa6ec9a1-6ca1-4a74-841d-b4c183e17cb6,zhong8yang8,Squad,Normal,3,17,Karakin,Dragunov,1,54,1,1.88km,14m 44s,79m,Maureen99|super_ADAM|KITSUNEZI|zhong8yang8
2026-07-20T20:54:25+08:00,fa6ec9a1-6ca1-4a74-841d-b4c183e17cb6,super_ADAM,Squad,Normal,3,17,Karakin,Win94,3,248,1,2.64km,15m 47s,88m,Maureen99|super_ADAM|KITSUNEZI|zhong8yang8
2026-07-20T20:54:25+08:00,fa6ec9a1-6ca1-4a74-841d-b4c183e17cb6,Maureen99,Squad,Normal,3,17,Karakin,VSS,1,276,2,1.95km,16m 45s,162m,Maureen99|super_ADAM|KITSUNEZI|zhong8yang8
2026-07-20T21:15:30+08:00,5ab7241f-779b-43b3-8604-38f50bf0ed4d,zhong8yang8,Squad,Normal,4,18,Karakin,,0,0,0,0.12km,10m 15s,0m,Maureen99|zhong8yang8|Cx330_Guan|super_ADAM
2026-07-20T21:15:30+08:00,5ab7241f-779b-43b3-8604-38f50bf0ed4d,super_ADAM,Squad,Normal,4,18,Karakin,Beryl,0,87,0,1.43km,9m 22s,0m,Maureen99|zhong8yang8|Cx330_Guan|super_ADAM
2026-07-20T21:15:30+08:00,5ab7241f-779b-43b3-8604-38f50bf0ed4d,Maureen99,Squad,Normal,4,18,Karakin,UMP45,1,66,0,1.82km,13m 50s,100m,Maureen99|zhong8yang8|Cx330_Guan|super_ADAM
2026-07-20T21:28:15+08:00,dbd8221b-040f-4362-addb-59320c971600,zhong8yang8,Solo,Normal,1,1,Training Mode,,0,0,0,0.98km,8m 6s,0m,zhong8yang8
2026-07-20T21:53:56+08:00,8a00479a-e48c-4ffc-bc6e-d21b858380ef,zhong8yang8,Squad,Normal,15,27,Erangel,UMP45,1,136,2,1.78km,9m 23s,28m,zhong8yang8|SWAT-Melon-01|4even-|XiBeiDaKanDaoxxx
2026-07-20T22:20:22+08:00,f31dfe32-57e1-4d1e-88d2-65b405388d42,super_ADAM,tdm,Normal,2,2,Rondo,VSS,15,1824,0,1.06km,11m 36s,114m,super_ADAM|yuyhll|WEHOLA|wsleo-1|qingying06|sa529opl|ChuLanXin|XB800314
